Influencer,Impressions,Likes,Comments,Shares,Saves,Cost,Engagement Rate
Moyo J Ajibade,233831,17152,305,549,852,40000,8.06%
GK Barry,1302139,75265,506,5115,1182,75000,6.30%
Chloe Rose,168116,10350,294,124,218,32000,6.53%
Ieuan & Kane,468590,23723,89,834,594,28000,5.39%
George Baggs,89872,3566,124,134,99,28000,4.37%
Isaac HP,358108,10016,271,1202,377,22000,3.31%
Kate Keogh,346042,9994,456,503,391,12500,3.28%
Josh Ryan,209363,6296,156,279,168,40000,3.30%
poppycooks,557925,14038,645,795,447,50000,2.85%
Fats Timbo,23684,486,34,7,22,25000,2.32%
Kait Park,459910,5679,79,1115,44,15000,1.50%
GG Flavour,467813,7230,137,574,240,22000,1.75%
